All-Star Game Selections by Player | Basketball-Reference.com

Find any player or team from any Reference site with our new cross-sport search engine. Only on Sports-Reference.com.

Awards Menu

# All-Star Game Selections by Player

## 538 Players

538 Players Table

| Rk | Player | Tot | NBA | ABA |
| 231 | Kevin Johnson | 3 | 3 | 0 |
| 232 | Stew Johnson | 3 | 0 | 3 |
| 233 | Eddie Jones | 3 | 3 | 0 |
| 234 | Steve Jones | 3 | 0 | 3 |
| 235 | Bob Kauffman | 3 | 3 | 0 |
| 236 | Red Kerr | 3 | 3 | 0 |
| 237 | Billy Knight | 3 | 2 | 1 |
| 238 | Freddie Lewis | 3 | 0 | 3 |
| 239 | Bob Love | 3 | 3 | 0 |
| 240 | Dan Majerle | 3 | 3 | 0 |
| 241 | Bill Melchionni | 3 | 0 | 3 |
| 242 | Khris Middleton | 3 | 3 | 0 |
| 243 | Doug Moe | 3 | 0 | 3 |
| 244 | Jeff Mullins | 3 | 3 | 0 |
| 245 | Larry Nance | 3 | 3 | 0 |
| 246 | Julius Randle | 3 | 3 | 0 |
| 247 | Glen Rice | 3 | 3 | 0 |
| 248 | Derrick Rose | 3 | 3 | 0 |
| 249 | Dan Roundfield | 3 | 3 | 0 |
| 250 | Brandon Roy | 3 | 3 | 0 |
| 251 | Domantas Sabonis | 3 | 3 | 0 |
| 252 | Detlef Schrempf | 3 | 3 | 0 |
| 253 | Paul Seymour | 3 | 3 | 0 |
| 254 | Ben Simmons | 3 | 3 | 0 |
| 255 | Peja Stojaković | 3 | 3 | 0 |
| 256 | Maurice Stokes | 3 | 3 | 0 |
| 257 | George Thompson | 3 | 0 | 3 |
| 258 | Dick Van Arsdale | 3 | 3 | 0 |
| 259 | Tom Van Arsdale | 3 | 3 | 0 |
| 260 | Norm Van Lier | 3 | 3 | 0 |
| 261 | Antoine Walker | 3 | 3 | 0 |
| 262 | Jamaal Wilkes | 3 | 3 | 0 |
| 263 | Buck Williams | 3 | 3 | 0 |
| 264 | Deron Williams | 3 | 3 | 0 |
| 265 | Willie Wise | 3 | 0 | 3 |
| 266 | Marvin Barnes | 2 | 0 | 2 |
| 267 | Scottie Barnes | 2 | 2 | 0 |
| 268 | Leo Barnhorst | 2 | 2 | 0 |
| 269 | Byron Beck | 2 | 0 | 2 |
| 270 | Art Becker | 2 | 0 | 2 |
| 271 | Carlos Boozer | 2 | 2 | 0 |
| 272 | Elton Brand | 2 | 2 | 0 |
| 273 | Terrell Brandon | 2 | 2 | 0 |
| 274 | Frankie Brian | 2 | 2 | 0 |
| 275 | John Brisker | 2 | 0 | 2 |
| 276 | Don Buse | 2 | 1 | 1 |
| 277 | Caron Butler | 2 | 2 | 0 |
| 278 | Archie Clark | 2 | 2 | 0 |
| 279 | Terry Cummings | 2 | 2 | 0 |
| 280 | Cade Cunningham | 2 | 2 | 0 |
| 281 | Baron Davis | 2 | 2 | 0 |
| 282 | Warren Davis | 2 | 0 | 2 |
| 283 | Luol Deng | 2 | 2 | 0 |
| 284 | John Drew | 2 | 2 | 0 |
| 285 | Andre Drummond | 2 | 2 | 0 |
| 286 | Kevin Duckworth | 2 | 2 | 0 |
| 287 | Walter Dukes | 2 | 2 | 0 |
| 288 | Dike Eddleman | 2 | 2 | 0 |
| 289 | Sean Elliott | 2 | 2 | 0 |
| 290 | Michael Finley | 2 | 2 | 0 |
| 291 | De'Aaron Fox | 2 | 2 | 0 |
| 292 | Joe Fulks | 2 | 2 | 0 |
| 293 | Darius Garland | 2 | 2 | 0 |
| 294 | Jack George | 2 | 2 | 0 |
| 295 | Manu Ginóbili | 2 | 2 | 0 |
| 296 | Tyrese Haliburton | 2 | 2 | 0 |
| 297 | Roy Hibbert | 2 | 2 | 0 |
| 298 | Jrue Holiday | 2 | 2 | 0 |
| 299 | Allan Houston | 2 | 2 | 0 |
| 300 | Hot Rod Hundley | 2 | 2 | 0 |
| 301 | Les Hunter | 2 | 0 | 2 |
| 302 | Zydrunas Ilgauskas | 2 | 2 | 0 |
| 303 | Brandon Ingram | 2 | 2 | 0 |
| 304 | Jaren Jackson Jr. | 2 | 2 | 0 |
| 305 | Antawn Jamison | 2 | 2 | 0 |
| 306 | Eddie Johnson | 2 | 2 | 0 |
| 307 | John Johnson | 2 | 2 | 0 |
| 308 | Larry Johnson | 2 | 2 | 0 |
| 309 | Rich Jones | 2 | 0 | 2 |
| 310 | Don Kojis | 2 | 2 | 0 |
| 311 | Wendell Ladner | 2 | 0 | 2 |
| 312 | Zach LaVine | 2 | 2 | 0 |
| 313 | David Lee | 2 | 2 | 0 |
| 314 | Fat Lever | 2 | 2 | 0 |
| 315 | Mike Lewis | 2 | 0 | 2 |
| 316 | Rashard Lewis | 2 | 2 | 0 |
| 317 | Jeff Malone | 2 | 2 | 0 |
| 318 | Danny Manning | 2 | 2 | 0 |
| 319 | Stephon Marbury | 2 | 2 | 0 |
| 320 | Jack Marin | 2 | 2 | 0 |
| 321 | Tyrese Maxey | 2 | 2 | 0 |
| 322 | Brad Miller | 2 | 2 | 0 |
| 323 | Ja Morant | 2 | 2 | 0 |
| 324 | Swen Nater | 2 | 0 | 2 |
| 325 | Norm Nixon | 2 | 2 | 0 |
| 326 | Joakim Noah | 2 | 2 | 0 |
| 327 | Victor Oladipo | 2 | 2 | 0 |
| 328 | Jim Paxson | 2 | 2 | 0 |
| 329 | Geoff Petrie | 2 | 2 | 0 |
| 330 | Terry Porter | 2 | 2 | 0 |
| 331 | Cincy Powell | 2 | 0 | 2 |
| 332 | Zach Randolph | 2 | 2 | 0 |
| 333 | Glenn Robinson | 2 | 2 | 0 |
| 334 | Truck Robinson | 2 | 2 | 0 |
| 335 | Red Rocha | 2 | 2 | 0 |
| 336 | Dennis Rodman | 2 | 2 | 0 |
| 337 | Jeff Ruland | 2 | 2 | 0 |
| 338 | Fred Scolari | 2 | 2 | 0 |
| 339 | Kenny Sears | 2 | 2 | 0 |
| 340 | Frank Selvy | 2 | 2 | 0 |
| 341 | Alperen Şengün | 2 | 2 | 0 |
| 342 | James Silas | 2 | 0 | 2 |
| 343 | Paul Silas | 2 | 2 | 0 |
| 344 | Jerry Sloan | 2 | 2 | 0 |
| 345 | Phil Smith | 2 | 2 | 0 |
| 346 | Randy Smith | 2 | 2 | 0 |
| 347 | Jerry Stackhouse | 2 | 2 | 0 |
| 348 | Levern Tart | 2 | 0 | 2 |
| 349 | Brian Taylor | 2 | 0 | 2 |
| 350 | Reggie Theus | 2 | 2 | 0 |
| 351 | Isaiah Thomas | 2 | 2 | 0 |
| 352 | Andrew Toney | 2 | 2 | 0 |
| 353 | Kelly Tripucka | 2 | 2 | 0 |
| 354 | Kiki Vandeweghe | 2 | 2 | 0 |
| 355 | Bob Verga | 2 | 0 | 2 |
| 356 | Nikola Vučević | 2 | 2 | 0 |
| 357 | Jimmy Walker | 2 | 2 | 0 |
| 358 | Bill Walton | 2 | 2 | 0 |
| 359 | Scott Wedman | 2 | 2 | 0 |
| 360 | Victor Wembanyama | 2 | 2 | 0 |
| 361 | David West | 2 | 2 | 0 |
| 362 | Charlie Williams | 2 | 0 | 2 |
| 363 | Chuck Williams | 2 | 0 | 2 |
| 364 | Gus Williams | 2 | 2 | 0 |
| 365 | Zion Williamson | 2 | 2 | 0 |
| 366 | Brian Winters | 2 | 2 | 0 |
| 367 | Shareef Abdur-Rahim | 1 | 1 | 0 |
| 368 | Alvan Adams | 1 | 1 | 0 |
| 369 | Michael Adams | 1 | 1 | 0 |
| 370 | Danny Ainge | 1 | 1 | 0 |
| 371 | Jarrett Allen | 1 | 1 | 0 |
| 372 | Kenny Anderson | 1 | 1 | 0 |
| 373 | B.J. Armstrong | 1 | 1 | 0 |
| 374 | Deni Avdija | 1 | 1 | 0 |
| 375 | LaMelo Ball | 1 | 1 | 0 |
| 376 | Paolo Banchero | 1 | 1 | 0 |
| 377 | Don Barksdale | 1 | 1 | 0 |
| 378 | Dick Barnett | 1 | 1 | 0 |
| 379 | Dana Barros | 1 | 1 | 0 |
| 380 | Butch Beard | 1 | 1 | 0 |
| 381 | Ralph Beard | 1 | 1 | 0 |
| 382 | Mookie Blaylock | 1 | 1 | 0 |
| 383 | John Block | 1 | 1 | 0 |
| 384 | Bob Boozer | 1 | 1 | 0 |
| 385 | Vince Boryla | 1 | 1 | 0 |
| 386 | Bill Bradley | 1 | 1 | 0 |
| 387 | Fred Brown | 1 | 1 | 0 |
| 388 | Roger Brown | 1 | 0 | 1 |
| 389 | Larry Bunce | 1 | 0 | 1 |
| 390 | Andrew Bynum | 1 | 1 | 0 |
| 391 | Austin Carr | 1 | 1 | 0 |
| 392 | Joe Barry Carroll | 1 | 1 | 0 |
| 393 | George Carter | 1 | 0 | 1 |
| 394 | Bill Cartwright | 1 | 1 | 0 |
| 395 | Sam Cassell | 1 | 1 | 0 |
| 396 | Cedric Ceballos | 1 | 1 | 0 |
| 397 | Tyson Chandler | 1 | 1 | 0 |
| 398 | Len Chappell | 1 | 1 | 0 |
| 399 | Nat Clifton | 1 | 1 | 0 |
| 400 | Derrick Coleman | 1 | 1 | 0 |
| 401 | Jack Coleman | 1 | 1 | 0 |
| 402 | Mike Conley | 1 | 1 | 0 |
| 403 | Antonio Davis | 1 | 1 | 0 |
| 404 | Dale Davis | 1 | 1 | 0 |
| 405 | Vlade Divac | 1 | 1 | 0 |
| 406 | James Donaldson | 1 | 1 | 0 |
| 407 | Goran Dragić | 1 | 1 | 0 |
| 408 | Jalen Duren | 1 | 1 | 0 |
| 409 | Jim Eakins | 1 | 0 | 1 |
| 410 | Mark Eaton | 1 | 1 | 0 |
| 411 | Dale Ellis | 1 | 1 | 0 |
| 412 | Ray Felix | 1 | 1 | 0 |
| 413 | Sleepy Floyd | 1 | 1 | 0 |
| 414 | Jimmy Foster | 1 | 0 | 1 |
| 415 | World B. Free | 1 | 1 | 0 |
| 416 | Bill Gabor | 1 | 1 | 0 |
| 417 | Chris Gatling | 1 | 1 | 0 |
| 418 | Gus Gerard | 1 | 0 | 1 |
| 419 | Gerald Govan | 1 | 0 | 1 |
| 420 | Danny Granger | 1 | 1 | 0 |
| 421 | Horace Grant | 1 | 1 | 0 |
| 422 | A.C. Green | 1 | 1 | 0 |
| 423 | Mike Green | 1 | 0 | 1 |
| 424 | Rickey Green | 1 | 1 | 0 |
| 425 | Alex Groza | 1 | 1 | 0 |
| 426 | Tom Gugliotta | 1 | 1 | 0 |
| 427 | Devin Harris | 1 | 1 | 0 |
| 428 | Bob Harrison | 1 | 1 | 0 |
| 429 | Hersey Hawkins | 1 | 1 | 0 |
| 430 | Gordon Hayward | 1 | 1 | 0 |
| 431 | Walt Hazzard | 1 | 1 | 0 |
| 432 | Tyler Herro | 1 | 1 | 0 |
| 433 | Art Heyman | 1 | 0 | 1 |
| 434 | Wayne Hightower | 1 | 0 | 1 |
| 435 | Tyrone Hill | 1 | 1 | 0 |
| 436 | Lionel Hollins | 1 | 1 | 0 |
| 437 | Chet Holmgren | 1 | 1 | 0 |
| 438 | Jeff Hornacek | 1 | 1 | 0 |
| 439 | Josh Howard | 1 | 1 | 0 |
| 440 | Juwan Howard | 1 | 1 | 0 |
| 441 | Andre Iguodala | 1 | 1 | 0 |
| 442 | Darrall Imhoff | 1 | 1 | 0 |
| 443 | Luke Jackson | 1 | 1 | 0 |
| 444 | Mark Jackson | 1 | 1 | 0 |
| 445 | Merv Jackson | 1 | 0 | 1 |
| 446 | Tony Jackson | 1 | 0 | 1 |
| 447 | Jalen Johnson | 1 | 1 | 0 |
| 448 | Neil Johnson | 1 | 0 | 1 |
| 449 | Steve Johnson | 1 | 1 | 0 |
| 450 | Caldwell Jones | 1 | 0 | 1 |
| 451 | Wil Jones | 1 | 0 | 1 |
| 452 | DeAndre Jordan | 1 | 1 | 0 |
| 453 | Chris Kaman | 1 | 1 | 0 |
| 454 | Julius Keye | 1 | 0 | 1 |
| 455 | Jim King | 1 | 1 | 0 |
| 456 | Andrei Kirilenko | 1 | 1 | 0 |
| 457 | Kyle Korver | 1 | 1 | 0 |
| 458 | Sam Lacey | 1 | 1 | 0 |
| 459 | Christian Laettner | 1 | 1 | 0 |
| 460 | Clyde Lee | 1 | 1 | 0 |
| 461 | Reggie Lewis | 1 | 1 | 0 |
| 462 | Goose Ligon | 1 | 0 | 1 |
| 463 | Brook Lopez | 1 | 1 | 0 |
| 464 | Jamaal Magloire | 1 | 1 | 0 |
| 465 | Randy Mahaffey | 1 | 0 | 1 |
